Name,Organization,Project
geolas,International Catrobat Association,Catroid Editor for User Defined Bricks
George Michel,Zulip,Improve User Groups
Gergely Bálint,Free and Open Source Silicon Foundation,"Enhancing AnyCore, a superscalar RISC-V processor"
Germa Vinsmoke,The Tor Project,Tor Project: OONI Explorer & Design System Improvements
gerzytet,Center for Research in Open Source Software (CROSS),Create python interface for PDC
Giannis Christodoulou,JBoss Community,AQAvit - Deep AQAtik
Giannis Prokopiou,Open Technologies Alliance - GFOSS,Label Buddy 2.0: Automated audio-tagging using transfer learning
Giles Harper-Donnelly,TensorFlow,JAX ML Textbook
Giorgos Apostolopoulos,CERN-HSF,A concurrency model for the monitoring in Ganga
gmakkena,CHIPS Alliance,FPGA chips database visualizer improvements
Gopal Ramesh Dahale,Machine Learning for Science (ML4SCI),Quantum Convolutional Neural Networks for High Energy Physics Analysis at the LHC
Goutam Verma,Liquid Galaxy project,TinyGS data visualization for Liquid Galaxy
gpioblink,BeagleBoard.org,BeagleBone Cape add-on board compatibility layer
Gracia Zhang,Processing Foundation,GSoC'22 Processing Proposal (Teach Page)
Greg Maya,NumFOCUS,Street Network Simplification:  A combined approach
Gregory Li,BRL-CAD,Test-Driven Development for BRL-CAD NURBS/Brep Boolean Operation
grisenti,ScummVM,Integrating the HLP1 engine and Penumbra: Overture in ScummVM
Guillaume THOMAS,The Julia Language,Integrate the MuZero algorithm into the AlphaZero.jl package
Guillaume Vigne,The Julia Language,Bringing GPU programming to DFTK.jl
GuillemCF,Liquid Galaxy project,CropDoc for Android
Guneet Singh Kohli,CERN-HSF,Project Proposal Geant4-FastSim - ML pipeline optimization using Kubeflow
hackeramitkumar,AOSSIE,Agora vote android
Hamzah,Python Software Foundation,PyElastica - Run-time visualization of simulations
Hannah Meeks,LibreOffice,VBA Macros - Tests and missing APIs
Hannah Pieper,NumFOCUS,Physics-informed Neural Networks for Stochastic Differential Equations via Orthogonal Basis Methods
Hari Prasad,Center for Research in Open Source Software (CROSS),Discrete graph extraction from simulated scalar fields
Hari Prashant Bhimaraju,Zulip,Improve Zulip's Native Integrations
Harikrishna Pillai,INCF,Digital Microsphere
Haris Zafeiropoulos,GeomScale,Memory allocation in facet redundancy removal in dingo
Haroon Mohamedali,Chromium,Aggregation Jobs Control Plane
Harsh Malani,OWASP Foundation,"Maryam: Deep Neural Networks for Clustering, Topic Modeling and Similar Document retrieval [Iris]"
Harsh Shah,TensorFlow,Harsh Shah - Develop healthcare examples using Keras
Harsh_Vardhan,The Mifos Initiative,Computer Vision Based PPI Tool Version 3.0
Harshal Shende,CERN-HSF,TMVA Developments - Improve Python interface for TMVA
Harshil Bhatt,BeagleBoard.org,Greybus for Zephyr Updates
Harshil Jani,CERN-HSF,Geant4 - Performance Data Visualization using d3.js
Harshit Sharma,Haiku,Improving the Calendar Application
Harshith Mohan Kumar,Red Hen Lab,Pipeline for Multimodal Television Show Segmentation
HarshitJain,Jitsi,Music bot for Jitsi video conference
harshmahesheka,Open Robotics,Tools for creating new ignition projects
Harshvardhan Singh,Oppia Foundation,Making the Contributor Dashboard UI Responsive
Hasitha Kaushan,Oppia Foundation,Contributor Recognition Infrastructure
Hatma Suryotrisongko,OWASP Foundation,Deep Learning for OWASP Maryam's NLP operations
Hemant Gupta,The Mifos Initiative,Introducing Lombok to Reduce Getters/ Setters and Mapstruct to map REST DTO to Entity Objects
Hengke Sun,Casbin,Casbin for Rust & Casdoor Rust SDK
Henil Shalin Panchal,Fortran-lang,Port fortran-lang.org to Sphinx
henrik,Apache Software Foundation,Dubbo Metrics and Observability
Henry H,Joplin,Mobile — Easier Editing
Hesham Essam,Synfig,Building Synfig with the MSVC Toolchain & automate the build process using Connan
heyimshivam,Oppia Foundation,"Migrate the exploration editor page to Angular, and move the entire frontend to the Angular CLI"
Himanshu Acharya,Apache Software Foundation,Apache Geode Data store support for Apache Gora(GORA-698)
Himanshu Choudhary,Cuneiform Digital Library Initiative (CDLI),Apertium - Phrase-based MT system
Himanshu Chougule,INCF,21.1 A Collective Cognition Model for AI Ethics
Himanshu Hansaria,Apache Software Foundation,Airavata Jupyter Platform Services
Himanshu Sekhar Nayak,BRL-CAD,New BRL-CAD GUI
Hitansh Shah,Wagtail,Editor's Guide- A standalone project
Hitesh Tomar,Oppia Foundation,GSoC 2022 Proposal -- Fix validation errors (HITESH TOMAR)
Hongdong He,MariaDB,MariaDB ColumnStoreMCOL-4995
Hongli Zhao,SageMath,SageMath: Efficient Tensor Calculus Backend and Supervised Learning via Tensor-Networks
Hongyi Liu,CGAL Project,Spectral Surface Reconstruction
Hossam Mohamed Saeed,CGAL Project,Interpolated Corrected Curvature Measures.
Houssem Nasri,JabRef e.V.,3-way Merge
Hrishikesh Agarwal,Python Software Foundation,EOS User Story - frontend and UX
Hrishikesh Bhagwat,LibreHealth,NeoRoo- An Integrated mHealth Platform for Improving Nursing Care for Premature Babies
hritik3961,The Linux Foundation,Flutter based application that reads and displays CAN data through kuksa.val
Hrushikesh Rao,Jenkins,Automatic git cache maintenance on the controller
Huang Yilong,Apache Software Foundation,Task demo demonstrating the usage of Dubbo3
Husni Faiz,coreboot,Console via SMBus
Hussain Khan,The Honeynet Project,Intelowl Go Client
Husseinat,LibreCube Initiative,Generic Orbital Model Implementation
Huu Phuoc Le,GeomScale,Sampling correlation matrices
Huzi Cheng,INCF,A GUI for HNN-core with ipywidgets and the calculation and visualization of CSD signals
Ignacy Kuchciński,GNOME Foundation,Revamp “New Document” submenu
Ikroop Singh Kalsi,International Catrobat Association,Pocket Code for Android: Refactoring and rewriting tests to Kotlin
imAnushka,R project for statistical computing,RSQLiteAdmin Visualisation Tools
Immad Mir,GNU Compiler Collection (GCC),Extend GCCs static analyzer to support checking for POSIX file descriptor APIs
Ioannis Iakovidis,GeomScale,Randomized SDP solver with Riemannian Hamiltonian Monte Carlo
Irfan Asif,rocket.chat,Figma App ( Rocket.Chat Integration )
Irina Argañaras,freifunk,Try LibreMesh without having a router
iRohitSingh,Plone Foundation,Workflow Manager
Isabella Basso,X.Org Foundation,DRM AMDGPU Unit tests
Ishan Kumar Kaler,Purr Data,Data Over Audio Library
Ishan Rawat,Monado,Implementation of Fish Tank OpenXR form factor extension
itwaix,SeaQL,Support an open source NewSQL database (TiDB)
Iulia Dumitru,The Julia Language,Survey.jl
Jack Mcnish,Machine Learning for Science (ML4SCI),Finding Exoplanets with Astronomical Observations
Jai,Polypheny,Railroad Diagram Creation and Implementation for Language Syntax
Jai Bardhan,Machine Learning for Science (ML4SCI),Graph Neural Networks for End-to-End Particle Identification with the CMS Experiment
Jai soni,Zulip,Enhance core Zulip Web Application
Jainam Shah,Keptn,Integration service for k6
Jake Freeland,The FreeBSD Project,Engineer a Feature Complete Port of Intel’s igt-gpu-tools for FreeBSD
James Mizen,MuseScore,Harp Pedalling Diagrams
Janvi S Thakkar,SCoRe Lab,CodeLabz
Jash Shah,OpenAstronomy,Gnuastro Library in Python
Jaskeerat Singh,Neutralinojs,GSOC'22-NeutralinoJs-Proposal
Jason Liang,Free and Open Source Silicon Foundation,IRSIM Dynamic Power Analysis and Other Improvements
Jason Terry,Machine Learning for Science (ML4SCI),Finding Exoplanets with Astronomical Observations
Jatin Jain,Python Software Foundation,Mission Support System: UI and server improvements
Jatinder Singh,JBoss Community,Debezium-History Compaction Tool
jay li,Apache Software Foundation,GSoC 2022: Dubo-go-boot project enriches other middleware adaptations
Jayant bhakar,TARDIS RT Collaboration,Monte Carlo 2D Packet Visualization
Jaydeep Das,Git,Unify ref-filters with other pretty formats
Jaydev Singh Rao,The Julia Language,Implementation of Replica Exchange Molecular Dynamics methods in Molly.jl
Jebbly,Blender Foundation,Integrating Many Lights Sampling into Cycles X
Jeevesh Garg,Oppia Foundation,Improve Frontend Type System
Jeongin Lee,Processing Foundation,Beginner-friendly ML Library for Processing
Jesús Rascón,Processing Foundation,Saving GIF files
Jiahang Li,INCF,DevoGraph: Modeling Cell Developmental Process of C. elegans using Graph Neural Network
Jiaming Tang,Casbin,Casbin for Cloud Native & Casdoor
JianDe,BeagleBoard.org,BB-config improvements & GPIO Benchmarking
Jianning Wang,Casbin,Casbin Advanced Performance Tuning and Component Supporting
jianyu.liu,Intel Video and Audio for Linux,FFmpeg DNN inference on IGPU full pipeline support
Jigao Luo,MariaDB,Research/implement UNION processing in Columnstore
Jing Guo,SageMath,Improve Height Functionality
Jing Liu,The Honeynet Project,Bridge Qiling with other static analysis software
Jing Liu,QEMU,Coverage-guided disk image fuzzing for QEMU
Jinhao Fan,QEMU,NVMe Emulation Performance Optimization
Jinlang Wang,PostgreSQL,Proposal for GSoC 2022 pgmoneta: Write-Ahead Log (WAL) infrastructure
Jinxiao Li,Mathesar,Support for JSON Data Type
Jishnu Goyal,Oppia Foundation,Interactive Onboarding Flow
jjelonek,freifunk,TX-Power Control in WiFi Networks
Joan Bernabeu,GNSS-SDR,Complete implementation of BeiDou B1C SDR
Jocelyn Alexia Aguilera Martinez,omegaUp,Code Reviews and Teaching Assistantship
Joel Hurtado Moreno,INCF,1.2 Improving GPU-accelerated Monte Carlo simulations in Disimpy
joeyouss,CCExtractor Development,Poor Man Rekognition (IV)
John George Francis,The Julia Language,Bringing in Novel Animation Abilities to Javis.jl
John Hoang,mlpack,Enhance CMA-ES from existing implementation in ensmallen - a optimization header library
John McIver,LLVM Compiler Infrastructure,Remove undef: Move Uninitialized Memory to Poison
Jordan Drew,Python Software Foundation,MNE-Python: Improved AR Connectivity
Jordanne,International Catrobat Association,Awesome Demo Game Project: Virtual Pet Cat Collector
José A. Sigüenza,Open Chemistry,The Porting of Normalizing Flow model from TensorFlow to PyTorch
Joseph Black,BRL-CAD,OpenSCAD 3D Viewport Graphical Enhancements
Joseph Ongchangco,INCF,AnalySim
Joshua Lin,SPDX,SBOM Conformance Checker Proposal
Julia Bichler,Zulip,Google Summer of Code at Zulip
Julian Stahl,CGAL Project,State-of-the-art Isosurfacing in CGAL
Julius,Center for Translational Data Science,GDC Documentation Site Refactor Project
Jun Zhang,CERN-HSF,Optimize ROOT use of modules for large codebases
JunduoDong,LLVM Compiler Infrastructure,Instrumentation of Clang/LLVM for Compile Time
Junjie Zhou,RADAR-base,GSoC Proposal for Fitbit Web API Subscription and Nutrition API Extension
Junming Zhao,Haskell.org,MMTk Port for GHC: An alternative of the current GHC storage manager
Junpeng Gao,The Julia Language,Implement Cost Models for Loop Optimizations
Justin Aronson,Global Alliance for Genomics and Health,Increasing Support for Molecular Consequence Data in Genomic Standards
Kai You,RADAR-base,Apple HealthKit integration to aRMT App
Kailash Kejriwal,Python Software Foundation,EOS User Story - Frontend and UX
Kalp Shah,CERN-HSF,Dataset-manipulation tools for simulated collider events
Kanha Agrawal,Open Technologies Alliance - GFOSS,Flexbench
Karan Lohaan,INCF,Modelling Axolotl Embryos (Proposal for Project Idea 22.2 Digital Microsphere)
Karan Mishra,Orcasound,Stream external hydrophones to Orcasound website
Karim Tera,CHIPS Alliance,Verible SystemVerilog Preprocessor Proposal
Karishma Vanwari,Public Lab,Refine User Interfaces across PublicLab.org
KARM PATEL,TensorFlow,JAX ML TEXTBOOK
Karthik Krishna,Our World In Data,Adding annotated observations to World maps
Karthik Sundar,CERN-HSF,OCM WebDAV Service
Kartik Sachdev,Machine Learning for Science (ML4SCI),Transformers for Dark Matter Morphology with Strong Gravitational Lensing
Kartik Shrivastava,The ENIGMA Team,Add Tiled compatibility to/from Enigma
Kartik Srivastava,Zulip,Work on features around the UserTopic model and documenting Zulip’s REST API
Katie Buchhorn,sktime,Anomaly detection in high-dimensional data
Kaustab Pal,RoboComp,Model Predictive Control for obstacle avoidance
Kaveesha Dinamidu,SCoRe Lab,Rewrite ImageLab backend
Kavishka Attanayake,CERN-HSF,Acts GPU R&D - Optimization of GPU tracking pipeline
Kaxada,CHAOSS,Bot CI/CD and assign algorithm
Kelly Xie,Polypheny,Data Source Adapter for Excel Sheets
Keshav Priyadarshi,AboutCode,Cross-validate vulnerability coverage of VulnerableCode. VulnTotal Project!
Kevin Ji,AboutCode,Extending license detection to use licenses external to ScanCode Toolkit
KevinGao,Genome Assembly and Annotation,Investigating and Implementing Compact Data Representation of Homology Relationship
kfliu,Apache Software Foundation,EventMesh Admin Dashboard
Khushi Agrawal,NumFOCUS,CuPy coverage of SciPy functions
Khushi Rauniyar,Joomla!,Guided Tour
Khyati,52°North Spatial Information Research GmbH,enviroCar Platform Independent App: Add UI for Data Privacy Settings/Control
Kinza Qamar Zaman,Free and Open Source Silicon Foundation,TinyParrot: A minimal BlackParrot RISC-V Multicore variant
kirawi,SeaQL,Query linter for SeaORM
Kirti Lodha,AOSSIE,"Add multiple algorithms, integrate KYC verification and allow open and invite based elections"
Koichi,The FreeBSD Project,Linuxulator on powerpc64
KomoQ,Red Hen Lab,11. Tools for improving subtitle/caption quality
KONSTANTINOS PALLIKARIS,GeomScale,Support for new sampling methods and new model formats in dingo
Konstantinos Petridis,NumFOCUS,NetworkX VF2++ Implementation
Krishna Narayanan,BeagleBoard.org,Adding features to simpPRU
krishna9304,FOSSology,REST API and UI improvements for FOSSologyUI
kshitijsoni,Genome Assembly and Annotation,GSoC 2022 Proposal - Extract text from tables in Scientific Papers by Kshitij Soni
Kth,Swift,Interactive mode for swift CLI tool ArgumentParser
Kuan-Hsuan (Kevin) Shen,Chromium,WebStatus Frontend Re-Architecture
KubanekO,Haskell.org,Hackage - Package Rank
Kukade Siddhesh Bhupendra,The Palisadoes Foundation,Admin Web Portal: Plugin Architecture
Kumuditha,OpenMRS,Next Generation Form Builder UI for the OpenMRS Community
Kunal Agarwal,libcamera,A GPU-based Software ISP Implementation
Kunal Garg,PostgreSQL,GUI representation of monitoring System Activity with the system_stats Extension in pgAdmin 4
KunalGhosh,NumFOCUS,PyMC - Fast Exact Gaussian Processes
Kundey Vishwanath,National Resource for Network Biology (NRNB),Customization of Analysis Report of GeneCloudOmics
Kurva Prashanth,BeagleBoard.org,Building Bela Images
Kush Kothari,CERN-HSF,[IRIS-HEP] Uproot + Dask
Kwan Ting Lau,Center for Research in Open Source Software (CROSS),Proposal for PolyPhy - Creating new data visualization regimes
Kyle Fan,CERN-HSF,MadAnalysis 5 - Integration of theoretical uncertainty calculation with multi-weight integration
L Lakshmanan,Free and Open Source Silicon Foundation,Improving Query Language Features in Sootty
Lahfa Samy,MetaCall,"Packaging & Testing Metacall for MacOSX, Windows, NixOS users"
Lakshya Garg,Global Alliance for Genomics and Health,Compliance testing framework for the Task Execution Service API
Lakshya Gupta,CNCF,in-toto:  Add provenance extension to Jenkins plugin
Lalit Suthar,Wikimedia Foundation,"Extending the WikidataComplete plugin for enabling data donations, recommendations, and gamification"
LandonPattison,Open Food Facts,Setup an External Authentication Service
larryshamalama,NumFOCUS,A PyMC Dirichlet Process Submodule via AePPL Enhancements
Lenery Chen,CNCF,Add SLSA provenance support to in-toto-rs and rebuilderd
Lennard Hofmann,Wikimedia Foundation,Rewrite the Wikidata Infobox on Commons in Lua
Leon Vitanos,VideoLAN,VLC Qt interface redesign
Leonardo D. Mariscal,NumFOCUS,Differentiable Rendering
lephuock,KDE Community,DigiKam Image Quality Sorter Algorithms Improvement
Leticia CR,Liquid Galaxy project,Galaxy Asteroids
lf32,AboutCode,Scancode.io/Scancode Toolkit: Create web application to scan and review a single license text
Liang Chun,CRIU,CRIU: Support sparse ghosts
Liangshumin,Apache Software Foundation,Log Outlier Detection
Liangyong Yu,Scala Center,Proposal for Optimization of Scala Native linker
Lisardo Pérez Lugones,Red Hen Lab,Improving the Visual Recognition of Aztec Hieroglyphs (Decipherment Tool)
listout,Gentoo Foundation,Musl support expansion to support GNOME desktop
littlewu2508,Gentoo Foundation,Refining ROCm Packages in Gentoo
LIU LIANG,Python Software Foundation,[GNU Mailman]List Configuration Tool
Liutong HAN,OpenCV,Optimizing OpenCV Universal Intrinsic for RISC-V Vector
lookas,The Linux Foundation,Make Kworkflow Stronger: Legacy Bug Fix and New Distribution Support
lowlypalace,Python Software Foundation,Automated Dataset Tuning - Hub (Activeloop) Proposal
luc65r,VideoLAN,MPD server in VLC
Luca Ferranti,The Julia Language,Reachability with sparse polynomial zonotopes
Lucca Silva,CHIPS Alliance,Creation of a cloud-based optimization infrastructure to test analog blocks in OpenFASOC
Luofei,Internet Health Report,User management and notifications
Luthfan Anshar Lubis,Python Software Foundation,Generic function support for LPython
lyle,Apache Software Foundation,Proposal For Python API CLI Enhancement
m-agour,Python Software Foundation,FURY: Implement Keyframe animations in FURY
Mabel F,CHAOSS,A Novel Implementation of Conversion Rate Metric Model in CHAOSS Software
Madeline Fontaine,NumFOCUS,CB-Geo MPM In-Situ Visualization
Madhav Mittal,Python Software Foundation,Implement modules from the Python Standard Library
Madhur Jain,Submitty,Submitty Progressive Web App
Maged Rifaat,GNU Octave,Improve TIFF image support
Magnus,Joomla!,Joomla! Project One - Scheduled Workflow Transitions
Mahesh Gouru,PostgreSQL,DBT-5 Stored Procedure Development (2022)
Mahesh Hegde,Dart,JNI Interop for Dart on the Android Platform
Mahmoud Abumandour,RTEMS Project,RTEMS Release Notes Generator
Mahmoud Mohamed Abdelwahab,SCoRe Lab,SCoRe Lab - Improving the supporting more models in the TensorMap
Maíra Canal,X.Org Foundation,Introducing Unit Testing to the Display Mode VBA Library
mak2002,Joplin,Implement default plugins on desktop application
Malay Joshi,Genome Assembly and Annotation,Extract important information  from scientific papers
Malay Vasa,Processing Foundation,p5 Examples Code Improvement
Manan Bordia,The Julia Language,Symbolic Root Finding for Symbolics.jl
Manan Rathi,Oppia Foundation,Helping learners when they get stuck.
Manas_2001,OSGeo (Open Source Geospatial Foundation),Osgeo[Pgrouting] : Add Google OR Tools functionality in Vrprouting
Manav Sarkar,AOSSIE,Proposal for P2P Messaging App in Flutter
Manish Kausik,CERN-HSF,Add Initial Integration of Clad with Enzyme
Manuel Drehwald,LLVM Compiler Infrastructure,Moving Instruction Rules to Tablegen
Manuel Meitinger,The Honeynet Project,QUIC Support in mitmproxy
Marco Knipfer,Machine Learning for Science (ML4SCI),Symbolic empirical representation of squared amplitudes in high-energy physics
Marco Melorio,GNOME Foundation,Fractal: Media history viewer
Marcos Tidball,Machine Learning for Science (ML4SCI),Diffusion Models for Fast Detector Simulation
Maria Gragera Garces,The Julia Language,Implementation of a quantum error correction code library for Julia’s Clifford gate simulator
Maria Seiser,International Catrobat Association,Merging Pocket Code Projects
Maria Sfîrăială,Unikraft,Shadow Stack
Mariam Fahmy,PostgreSQL,pgmoneta: Storage API
Marius Kimmina,CNCF,CoreDNS: Add ACME protocol support for certificate management into TLS plugin
Martin Blazsek,INCF,13.1 Integration of automated model testing and parameter fitting for neuroscience applications
Martina Jakubowska,BRL-CAD,Create visual programming nodes for generating BIM data with IfcSverchok
Martynas Krupskis,GitLab,Benchmarking Framework for SAST
Marwan Atef,Plone Foundation,Passwordless Pluggable Authentication Service
Mashijams,Haiku,XFS Filesystem Support
Matchy,Open Bioinformatics Foundation (OBF),"Implement IO Module for MzMLb, A Space- and Time-efficient Data Format for Mass Spectrometry Data"
Matt Wiese,Society for Arts and Technology (SAT),Face Tracking to Improve Accessibility and Interaction in the Metaverse with Satellite
Matteo Pagin,The ns-3 Network Simulator Project,A simplified channel and beamforming model for ns-3
MatthewBaggins,The Julia Language,David-Skene algorithms for Turing.jl
maverick_June,Apache Software Foundation,Elaborating the new stream processing system utilizes serverless framework with fast scaling policy
maxim_ivashechkin,OpenCV,Upgrading RANSAC and multi-grid camera calibration
Mayur Shende,R project for statistical computing,imputeTestbenchG: Imputation Testbench for Genomics data
Mayuresh Agashe,TensorFlow,See-Through-Heart
MBoulila,Machine Learning for Science (ML4SCI),Finding Exoplanets with Astronomical Observations
Md Noman Khan,The Palisadoes Foundation,Improved Member Management
MD SAHIL,Plone Foundation,Undo Control Panel
Meet Bhatnagar,R project for statistical computing,Track R Translations Status
Meha Bhalodiya,Keptn,Integration for GitOps-based Deployment Tools (e.g. ArgoCD/Flux)
Mehul Gulati,The Tor Project,OONI Probe Network Experiments: Detecting TLS Middleboxes and Port-based Blocking
Mehul Sinha,"Department of Biomedical Informatics, Emory University",Extending the Graphical User Interface for OpenAI Gym
Metehan Arslan,VideoLAN,VLC.js
Micha,coreboot,Integrate SerialICE stub into coreboot
Michele Castriotta,NumFOCUS,Expanding FEniCSx electromagnetic demos
Michell Algarra,Liquid Galaxy project,Liquid Galaxy SatNOGS Visualization Tool  (LG S.V.T.)
micpap25,Audacity,Creating Fundamental Ruler and Waveform Display Options
Mihir Tripathi,OpenAstronomy,Bayesian Excess Variance (Bexvar) in Stingray
Mikail Khan,Scala Center,Doodle Explore
Mirae P,sktime,Expanding sktime’s Annotation Capabilities
mizvekov,LLVM Compiler Infrastructure,Extend clang to preserve type sugar when performing member access on template specialization
mmomtchev,OSGeo (Open Source Geospatial Foundation),Adding Node.js support for service implementation to the ZOO-Kernel
ModeEric,Open Genome Informatics,Implementing and Visualizing MP-BioPath tool in the FI Viz Cytoscape Plugin
Mohamed Khaled  Mohamed,FFmpeg,GPU (CUDA) accelerate common software video filters Project Proposal
Mohamed Mokhtar,Red Hen Lab,Red Hen Rapid Annotator
MohamedAdhamc,Synfig,User Interface improvements
Mohammad Abdussalam,Center for Research in Open Source Software (CROSS),Geospatial Data Science on AsterixDB
Mohammad Humayun Khan,CERN-HSF,Improved Testing for Phoenix
Mohammad Sameer,Cuneiform Digital Library Initiative (CDLI),Morphological Parser for Sumerian
Mohammad Shoaib,TensorFlow,Develop new models and examples for TensorFlow-Hub
Mohammad Warid,CERN-HSF,Etherpad plugin as a ScienceMeshDocs editor
Mohammad Zain Abbas,Homebrew,Auto-bumping resources in Formulae (2022)
Mohammed Abdul Malik,CCExtractor Development,Improving rutorrent mobile interface
Mohammed Bilal,Debian,Quality Assurance for Biological and Medical Applications inside Debian
Mohd Noor Aman,RTEMS Project,RTEMS port for Raspberry pi 4 AArch64
Mohd Ubaid Shaikh,Fortran-lang,LFORTRAN: IMPLEMENTING A CUSTOM WASM BACKEND
Mohd. Shaheer,Kodi,Finish the new web interface
Mohit .,omegaUp,Plagiarism Detector
Mohit_33,The Linux Foundation,GUI for discovering non-driverless printers and finding suitable Printer Applications for them
mohitdmak,National Resource for Network Biology (NRNB),Conversion between GenBank and SBOL3
Moiseanu Rares,Chromium,Improve Mojo IPC fuzzing
Momoka,Chromium,Implement RFC8305 Happy Eyeballs 2 to chromium network stack
Monalisha Ojha,Ste||ar group,Multiple Dataset Performance Visualization
Mostafa Ashraf Mohamed,CGAL Project,Enhancing basic viewers in CGAL
Mounil Kamlesh Shah,Zulip,UI improvements in Zulip terminal
Mrigank Anand,OWASP Foundation,Python Honeypot Improvements
Mriganka Nath,Machine Learning for Science (ML4SCI),Gravitational Lens Finding for Dark Matter Substructure Pipeline
Mrunal,INCF,Automatic reviewer matching using Natural Language Processing: Infrastructure for NBDT Journal
Muhammad Usman,LLVM Compiler Infrastructure,Improving Clang Diagnostics
Mukesh Jaiswal,OpenStreetMap,Geo-referenced image viewer in OSM
Munukurthi Binesh,Matrix.org,3rd Party Authorised Room Membership
Mustafa Hasan Khan,rocket.chat,ClickUp App for Rocket.Chat
Nada Ahmed Elmasry,"Department of Biomedical Informatics, Emory University",A Python based tool for viewing and basic analysis of files with NumPy format
Nagesh Bansal,NumFOCUS,Data Retriever: Data retrieval using NeonVegWrangler
Namami Shanker,Python Software Foundation,SciPy: Restructuring the F2PY frontend and replacing the build system
NAMEER IQBAL ANSARI.,Micro Electronics Research Lab - UITU,Add FuseSoC support at SoC level for Azadi-SoC and Rebase ibex core with the latest commit.
nannanko,Matrix.org,Handle media files
Narayanan E.R.,Open3D team,Open3D-ML 3D Object detection model (PV-RCNN++)
Naresh Kumar B,INCF,Developing a Latex to XML pipeline and exploring a standalone platform for NBDT Journal
Nathaniel Jason,CNCF,KubeArmor Observability and Policy Discovery Helper Tool
natto1784,libvirt,Extend reported statistics on given guests
Navadeep,Center for Research in Open Source Software (CROSS),Open Source Autonomous Vehicle Controller - Sensor Driver Development
Navin Chandra,openSUSE Project,Analytics Edge Ecosystem Workloads
ndrw,GNU Compiler Collection (GCC),Improving debugging experience by enhancing the HIR dump
Neel Shah,CERN-HSF,ROOT - TMVA SOFIE Developments - Inference Code Generation for Deep Learning models
Neelay Shah,INCF,Creating Benchmark Datasets for Object Recognition with Event-based Cameras
Neeraj Gartia,JBoss Community,Infinispan and NodeJS  - NodeJS client evolutions
Nehal Sharma,Zulip,Cluster of Priority features  (Focused around the Compose Box and the Typeahead System)
Nekotoxin,Casbin,"Performance Optimize,New DB Adapters and Django Part Improve for Pycasbin"
Neo Sun Han,Forschungszentrum Jülich,Python array API standard compatibility
Ngwa Sedrick Meh,Ceph,Improving Dashboard Accessibility for Blind and Visually-Impaired Ceph Users
nick-dimeg,ReactOS Foundation,Kernel Address Sanitizer
Nicole Li,SageMath,2022 GSoC Implement piecewise functions of one or several variables Proposal
Nicoleta Spinu,NumFOCUS,Modelling and Forecasting Time-Series Gene Expressions Data in Mechanistic Toxicology
Nihar Sanda,PEcAn Project,Extend API / Distributed file sharing
Nikhil Paliwal,JdeRobot,Project #8: Optimization of Deep Learning models for autonomous driving
Nikhil Sharma,CNCF,New Golang plugin to help Operator authors skill up
Nikhil_Agarwal,Oppia Foundation,Learner Diagnostic Tests
NikosSp,Open Technologies Alliance - GFOSS,Draft HELP Application
NilanjanB,The ENIGMA Team,Expand CI test coverage to Windows
Niloy Sikdar,SCoRe Lab,React Email
Nimish B,CERN-HSF,Rucio WebUI Revamp
Nimra Khan,Center for Research in Open Source Software (CROSS),Demos and Tutorials
Niro.M,SCoRe Lab,OpenSNA
Nishant Andoriya,SCoRe Lab,LabelLab: Ticketing/Issue Tracking System
Nishant Patel,rocket.chat,Message Forwarding
Nishant Singhal,CCExtractor Development,TaskWarrior
NISHNATA DEBNATH,The Palisadoes Foundation,API: Content Uploads Support and enhanced chat support
Nitesh Kumar Kushwaha,"Department of Biomedical Informatics, Emory University",Better representations of scanner utilization from DICOM metadata
NitinKumar,GNU Compiler Collection (GCC),Bypass assembler when generating LTO object files
Nitish Chauhan,OSGeo (Open Source Geospatial Foundation),Implementing hawick_circuits algorithm from Boost Graph Library to  pgRouting
Nitish Gupta,CNCF,Standardize Cache Flag options for pack CLI
Niu Zhihong,Haiku,Proposal for GSoC 2022 Haiku : ARM port and device tree support
Nivas,Wikimedia Foundation,Campaigns Retention Metrics Dashboard
NoneBack,Casbin,An alternative tuple-storage engine for Casbin Mesh / Casbin — GSOC 2022 Proposal
Oliver Marketos,Open Bioinformatics Foundation (OBF),Genestorian data refinement
Om Sheladia,libssh,libssh: Support for FIDO/U2F keys on the client side
Omkar,AboutCode,Scancode Workbench improvements
Onur Berk Töre,Open Robotics,Improving Gazebo’s Mesh Format Support
Oplopoios Paris,LibreOffice,Extend Z compressed graphic format support
Osama Magdy,Jenkins X,Supply chain security: Improve integration with sigstore and look at tekton chains
Oshanath Rajawasam,Fortran-lang,LFortran - Implementing generics
Pablo Sanchidrian,Liquid Galaxy project,Pablo Sanchidrian Herrera GSoC 2022 - LG Space Chess
Padmaja Bhol,Open Bioinformatics Foundation (OBF),Journal tracker – finalise and deploy React front-end
Palak Sharma,moja global,Building UI library for moja global
Pankaj Prajapati,Oppia Foundation,Learner Group MVP
Panos Syskakis,Ste||ar group,HPX Algorithm Performance Analysis & Optimization
Param Siddharth,MetaCall,Migrate existing CI/CD pipelines to GitHub and Improve Build/Test/Deployment workflows
Parth Bansal,NumFOCUS,Improve CVXPY’s performance benchmarks with continuous integration.
Parth Shukla,Red Hen Lab,The Émile Mâle pipeline at RedHenLab
parth_07,CERN-HSF,Design and Develop a CUDA engine working along with C/C++ mode in clang-repl
